,date,new_confirmed,State,Region,categorical_id,day_of_week,categorical_month,days_from_start,week_of_month,categorical_day_of_week,categorical_week,stringency_index,government_response_index,containment_health_index,economic_support_index,new_confirmed_lag_7,stringency_index_lag_7,government_response_index_lag_7,containment_health_index_lag_7,economic_support_index_lag_7,is_holiday,is_holiday_lead_1,is_holiday_lead_2,is_holiday_lag_1,is_holiday_lag_2
0,2020-03-01,,,,,,,0,,,,,,,,,,,,,,,,,
1,2020-03-02,,,,,,,1,,,,,,,,,,,,,,,,,
2,2020-03-03,,,,,,,2,,,,,,,,,,,,,,,,,
3,2020-03-04,,,,,,,3,,,,,,,,,,,,,,,,,
4,2020-03-05,,,,,,,4,,,,,,,,,,,,,,,,,
5,2020-03-06,,,,,,,5,,,,,,,,,,,,,,,,,
6,2020-03-07,,,,,,,6,,,,,,,,,,,,,,,,,
7,2020-03-08,,,,,,,7,,,,,,,,,,,,,,,,,
8,2020-03-09,,,,,,,8,,,,,,,,,,,,,,,,,
9,2020-03-10,,,,,,,9,,,,,,,,,,,,,,,,,
10,2020-03-11,,,,,,,10,,,,,,,,,,,,,,,,,
11,2020-03-12,,,,,,,11,,,,,,,,,,,,,,,,,
12,2020-03-13,,,,,,,12,,,,,,,,,,,,,,,,,
13,2020-03-14,,,,,,,13,,,,,,,,,,,,,,,,,
14,2020-03-15,,,,,,,14,,,,,,,,,,,,,,,,,
15,2020-03-16,,,,,,,15,,,,,,,,,,,,,,,,,
16,2020-03-17,,,,,,,16,,,,,,,,,,,,,,,,,
17,2020-03-18,,,,,,,17,,,,,,,,,,,,,,,,,
18,2020-03-19,,,,,,,18,,,,,,,,,,,,,,,,,
19,2020-03-20,,,,,,,19,,,,,,,,,,,,,,,,,
20,2020-03-21,,,,,,,20,,,,,,,,,,,,,,,,,
21,2020-03-22,,,,,,,21,,,,,,,,,,,,,,,,,
22,2020-03-23,,,,,,,22,,,,,,,,,,,,,,,,,
23,2020-03-24,,,,,,,23,,,,,,,,,,,,,,,,,
24,2020-03-25,,,,,,,24,,,,,,,,,,,,,,,,,
25,2020-03-26,,,,,,,25,,,,,,,,,,,,,,,,,
26,2020-03-27,,,,,,,26,,,,,,,,,,,,,,,,,
27,2020-03-28,,,,,,,27,,,,,,,,,,,,,,,,,
28,2020-03-29,,,,,,,28,,,,,,,,,,,,,,,,,
29,2020-03-30,,,,,,,29,,,,,,,,,,,,,,,,,
30,2020-03-31,,,,,,,30,,,,,,,,,,,,,,,,,
31,2020-04-01,,,,,,,31,,,,,,,,,,,,,,,,,
32,2020-04-02,,,,,,,32,,,,,,,,,,,,,,,,,
